clean_text,retweets,favorites
Which boxer-engined BMW is right for you? We test them all back-to-back to find out -  ,0.0,0.0
BMW Vision Self Driving Car World Premiere  ,0.0,0.0
BMW iNext concept previews electric sedan flagship to come in  ,0.0,0.0
M3 Año Click   86 kms  00.000,1.0,0.0
BMW Base Sedan -Door BMW Base Sedan -Door L   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=162333628794&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
Sounding like a BMW advert is a fairly stock sound. Performing said track whilst on stilts is quirky though.,0.0,0.0
"BMW i3 gets a boost: new Ah version with bigger battery,... ",0.0,0.0
BMW i3 to feature a bigger battery with a range of kilometres ,0.0,0.0
THEY GAVE US A BMW !! || Casey Neistat ||:   via,0.0,0.0
BMW Series (528i) Start Up and Review L -Cylinder Turbo ⇒ ,0.0,0.0
TEST BMW Z4 sDrive35is ⇒ ,0.0,0.0
I liked a video   Audi Vs. Mercedes-Benz Vs. BMW - LED Technology,0.0,0.0
Messenger bag made from car seat belts and car seat ... bmw ...  ,0.0,0.0
Messenger bag made from car seat belts and car seat ... bmw … .,0.0,0.0
happy new year my happiness,0.0,0.0
Police: BMW Slams Into Oxnard Home At End Of Pursuit - CBS Local ,0.0,0.0
Proud BMW and Porsche owner,0.0,2.0
Please RT? Munich Masterpieces: Highlights from the BMW Museum  ,1.0,1.0
Please RT? BMW R nineT Scrambler Launch  ,0.0,0.0
"Rory McIlroy To Use Callaway Woods and Irons, Odyssey Putter, Titleist Ball And Wedges At BMW South africa",0.0,0.0
"c230 and I crashed it lol. It was good to me, having to cop a BMW this week",0.0,1.0
Please RT? Munich Masterpieces: Highlights from the BMW Museum  ,0.0,0.0
No other way to live without love a German car. BMW do best!,0.0,0.0
X3 RIVE I Año Click   40 kms  80.000,1.0,0.0
"BMW i rive Sedan. Another really nice, well equipped -Series. k Miles, Heads Up Display, Blind Spot,...  ",0.0,0.0
"The price for BMW X5 is 8,995 now. Take a look: . s/3-6293823 …",0.0,0.0
I just checked in at BMW with Download today!  ,0.0,1.0
bmw vin decoder options  ,0.0,0.0
BMW S RR review   via,0.0,0.0
BMW Victorious in Chinese Trademark Matters  ,1.0,0.0
BMW Releases Videos on the History of the Series - Motor Trend -  ,0.0,0.0
BMW -Series for Sale in United States   -bmw-1-series-base-convertible-2-door-4-39271.html …,0.0,0.0
i Love it i did'nt know may BMW pala si cris ryt imee kya tagal nagrespond pinainit pa iLove u cris  tus/815333802918735872 …,0.0,3.0
Our BMW service center is reliable and ready to take on any issue with your BMW without a ha   hausofminis.com /,0.0,0.0
"Our BMW service center is reliable and ready to take on any issue with your BMW without a hassle. Cooling system,...  ",0.0,0.0
